commit_hash,commit_date,file_path,proj_update_frequency,proj_mtbu,proj_update_latency,proj_version_lag,proj_criticality_scoreAVG,proj_criticality_scoreSUM,proj_alpha_best,proj_alpha_used
0eab652aab306f522c913f914bccdd0fb6bc6602,2019-04-26 15:34:21,requirements.txt,N/A,35.26,517.7,2.6,5.85,11.7,1,0.0
0f33fdfd2ad5e52d0bde2155880eabe75291ff11,2019-04-26 15:39:28,requirements.txt,N/A,38.34,160.0,3.0,N/A,N/A,0,1.0
1717f5d1274c6a99155cdcd5ff134c48e4f379da,2019-05-24 13:38:20,requirements.txt,3.0,3.99,119.0,0.0,N/A,N/A,0,0.0
1cb1aae61d866c3f1521735ee3a14430f9ea80b7,2019-05-24 19:24:47,requirements.txt,3.0,25.95,168.0,0.0,3.8,3.8,0,0.0
1681c33aab9f53bc4584b694909e59a12c302c32,2019-06-18 06:42:24,requirements.txt,3.0,22.01,263.0,0.0,N/A,N/A,0,0.0
26c0a250363eb6e854deeb37b33e54382dbf54e7,2019-10-09 09:32:37,requirements.txt,1.0,46.11,209.0,2.0,N/A,N/A,0,0.0
86143838a8f54408a1df18afa5a1a2dc0e031211,2019-10-31 08:30:20,requirements.txt,15.0,0.04,599.0,0.0,N/A,N/A,0,0.0
88b4d2bdaf80e015aa0e78bcb61af853face351b,2019-10-31 15:20:20,requirements.txt,15.0,33.77,0.0,0.0,5.85,11.7,1,0.0
1564c17d8db8a3af7d1a6f1dcfdc5a20f653f54b,2019-11-12 23:13:57,requirements.txt,15.0,46.11,244.0,2.0,N/A,N/A,0,0.0
19d975b23a248932be9bb888feac26e7c0146395,2019-11-22 11:32:23,requirements.txt,15.0,27.96,1274.0,0.33,3.9,7.8,0,0.0
44ef5892b4fcc7aafdfbac0e59371d7a6b4d1e46,2019-12-15 16:54:58,requirements.txt,15.0,54.11,0.0,0.0,5.2,5.2,0,0.0
36b54f73f0432274d5263deb9eb00290e534380d,2020-01-13 13:09:59,requirements.txt,15.0,67.64,0.0,0.0,N/A,N/A,0,0.0
1560da877f664e5516dcc30badae0fcb47509a63,2020-01-16 16:04:19,requirements.txt,15.0,13.67,0.0,0.0,N/A,N/A,0,0.0
773b19241a9d9da2e339adc491551e9c36752280,2020-03-23 09:41:09,requirements.txt,13.0,91.57,0.0,0.0,N/A,N/A,0,0.0
aeac94296e475a00361b1f27aefe32461143f482,2020-04-17 08:12:25,requirements.txt,13.0,59.86,0.0,0.0,N/A,N/A,0,0.0
a78a41e1f033ce7d832ee3c4f5c1fa97442186ca,2020-04-21 09:10:52,requirements.txt,13.0,48.21,240.25,0.92,5.63,16.9,2,0.0
