commit,unique_dependency_count
a681d8ce28230dbb1eb632ab19ed086765307d1b,400
10f48a1bdadafed7a3ac5c2a04e1af1816d11d9a,57
bca5fe8051d5ddc7b78d1177ef2d154bce982210,398
ab2b442f52f1b0392d62c98180501c11a2514915,350
89fcddd605ed03cbef0562d8c44219c6a036deac,290
a048d0365539461dd326f108336630d46a8597a2,429
23639870665783ea5723efef5ad9d9cfaba3ad5e,473
52d3af8a56d4ca194307c803133a504d9dbb0435,377
2aa2a3bd4f019312178764f4bde950903a01360e,438
a30b427a96229412e99e2bc5294f6b0c60748d12,391
c8dbfb075c73a8046e57ae8269c0ff9cb8570daf,360
81a4ba854c23c63912e5d26fa77b1289db2b11ef,309
b7a395a3efba785bae903975603f952d18564ffd,356
5bc57634486281865e5fcf4a4665197f38dbc906,428
a32808e8eb8c03cf101fd99ae92f9e18396f2b1b,381
ee0c67c0c8e600eb4897c63b31107dce60feed14,393
3bbe82057c4d55c452724a4e99bf3d092bd2d99d,225
0bedbb4dd32b4e1bcb432161dbc7fdbacfc14c19,309
6e3e78643c8f76748fc88fd00cdb3afb47e0d60f,471
4d778846e872693f29d4dbfcb7fa3332726eebb1,212
aacdf8066435bf889b4a62ddac3adf0a4ce4b8c4,326
1ab0d585a96d297a67af37cd58eb7c3ffc99ba5b,365
1c40ae97fb8b7ef1c0b0820a913fc2a0795c0b65,457
149e50e1b10aa7af975c761ba47b1fd8ab932d73,384
8bebdf21f618bc79eeac67b12c9ad1e067fe55eb,347
be0c3591602c9536c443cc53edaf34dfb7d63360,228
a275a2479730afbc0e02ca75d26afeb2f8b76011,240
d1bc304d52d4eac62c52d6fc4f648c169763d0e2,435
173f09fa6b03bf86022c3e19a9b900d1e168e998,343
4eb44488786cdc0520f46246729be21d427de43c,459
41011a95e1f95a65143b092c659730a8ccf099cf,290
de3eed2f4c225c2a0ecd180e540015be0d07cb57,239
617cadb84b3bcdd220dae41d125b6f84fc35390e,325
1b1d1f003342b17196d4dc6528a2c962692d0ab2,422
373fc23fc078beefd339b60b6b8f802ccd9855b3,257
52f9e814b68131d5442f8abfa2edd848c5ded287,472
f90536d6bedcc772f7a84978a5873a796fc7294d,423
b9257a59880cc418fa2194e43dc96e4ed18b842c,406
97aaf98e49619a15bf61f60ebc17764c846b7d90,474
03f3150c7d8d3055192383cefbf87df1b1426f9e,448
93f3d7bf4289a1f54ae660a8246c629fcd80ceea,390
94f41444f47cfc2404ed9e37046eb53eb7903dd5,415
87fc5713211c23652ce0d193a9ef9cf7c3c63241,459
1bacd2e23af0a2cf422e98236ed2558ecd14fd82,446
53a9eb1d429e13f363512ae04ae1646221dc7a3b,400
45b95d7b3694886e03ada96a344836305311967b,381
842218a7edf1a5200c5622765c49d21f24c383c8,399
b95d12a968e8374a93ddcd56f47ab12eb4136ff4,313
a68aadd9d0ad62b4e5b853a112ef628b432f9759,428
258b21e334f1388430f9bf30634d8ef68ac89f5e,419
1584b8ef02bfc56119f9851ed5cb734f09cfe129,308
b10618ad711030a7f6900429cf12566457e312aa,409
cfaaa07529903dca26593d0cd10142fa152846bf,428
1683b668081f660b0b8e9c4dd8589400c7d96175,429
d202589a4df0674da7e2556dfabe2b2abff9932c,340
e7ad9ff2d6a3ccb7e3e11a0ce8fc864b02bf04c4,313
3c33a7180efbb65ccfb46f402f3d5c81aaf89c66,322
