date,commit,dependencies
2019-04-26 15:34:21,0eab652aab306f522c913f914bccdd0fb6bc6602,"['PyJWT', 'aiohttp', 'aiohttp-jinja2', 'aiohttp_session', 'aiomonitor', 'cryptography', 'jinja2', 'pyyaml', 'tabulate', 'termcolor']"
2019-04-26 15:39:28,0f33fdfd2ad5e52d0bde2155880eabe75291ff11,"['PyJWT', 'aiohttp', 'aiohttp-jinja2', 'aiohttp_session', 'aiomonitor', 'cryptography', 'jinja2', 'pyyaml', 'tabulate', 'termcolor']"
2019-05-24 13:38:20,1717f5d1274c6a99155cdcd5ff134c48e4f379da,"['PyJWT', 'aiohttp', 'aiohttp-jinja2', 'aiohttp_session', 'aiomonitor', 'cryptography', 'jinja2', 'pyyaml', 'tabulate', 'termcolor']"
2019-05-24 19:24:47,1cb1aae61d866c3f1521735ee3a14430f9ea80b7,"['PyJWT', 'aiohttp', 'aiohttp-jinja2', 'aiohttp_session', 'aiomonitor', 'cryptography', 'jinja2', 'pyfiglet', 'pyyaml', 'termcolor']"
2019-06-18 06:42:24,1681c33aab9f53bc4584b694909e59a12c302c32,"['PyJWT', 'aiohttp', 'aiohttp-jinja2', 'aiohttp-security', 'aiohttp_session', 'cryptography', 'jinja2', 'pyyaml']"
2019-10-09 09:32:37,26c0a250363eb6e854deeb37b33e54382dbf54e7,"['aiohttp', 'aiohttp-jinja2', 'aiohttp-security', 'aiohttp_session', 'cryptography', 'jinja2', 'pyyaml']"
2019-10-31 08:30:20,86143838a8f54408a1df18afa5a1a2dc0e031211,"['aiohttp', 'aiohttp-jinja2', 'aiohttp-security', 'aiohttp_session', 'cryptography', 'jinja2', 'msgpack-python', 'pyyaml']"
2019-10-31 15:20:20,88b4d2bdaf80e015aa0e78bcb61af853face351b,"['aiohttp', 'aiohttp-jinja2', 'aiohttp-security', 'aiohttp_session', 'cryptography', 'jinja2', 'msgpack-python', 'pyyaml']"
2019-11-12 23:13:57,1564c17d8db8a3af7d1a6f1dcfdc5a20f653f54b,"['aiohttp', 'aiohttp-jinja2', 'aiohttp-security', 'aiohttp_session', 'cryptography', 'jinja2', 'msgpack-python', 'pyyaml']"
2019-11-22 11:32:23,19d975b23a248932be9bb888feac26e7c0146395,"['aioconsole', 'aiohttp', 'aiohttp-jinja2', 'aiohttp-security', 'aiohttp_session', 'cryptography', 'jinja2', 'pyfiglet', 'pyyaml', 'termcolor']"
2019-12-15 16:54:58,44ef5892b4fcc7aafdfbac0e59371d7a6b4d1e46,"['aioconsole', 'aiohttp', 'aiohttp-jinja2', 'aiohttp-security', 'aiohttp_session', 'cryptography', 'jinja2', 'pyfiglet', 'pyyaml', 'termcolor', 'websockets']"
2020-01-13 13:09:59,36b54f73f0432274d5263deb9eb00290e534380d,"['Sphinx', 'aioconsole', 'aiohttp', 'aiohttp-jinja2', 'aiohttp-security', 'aiohttp_session', 'cryptography', 'jinja2', 'pyfiglet', 'pyyaml', 'sphinx_rtd_theme', 'termcolor', 'websockets']"
2020-01-16 16:04:19,1560da877f664e5516dcc30badae0fcb47509a63,"['Sphinx', 'aioconsole', 'aiohttp', 'aiohttp-jinja2', 'aiohttp-security', 'aiohttp_session', 'cryptography', 'jinja2', 'pyfiglet', 'pyyaml', 'recommonmark', 'sphinx_rtd_theme', 'termcolor', 'websockets']"
2020-03-23 09:41:09,773b19241a9d9da2e339adc491551e9c36752280,"['Sphinx', 'aioconsole', 'aiohttp', 'aiohttp-jinja2', 'aiohttp-security', 'aiohttp_session', 'cryptography', 'jinja2', 'marshmallow', 'pyfiglet', 'pyyaml', 'recommonmark', 'sphinx_rtd_theme', 'termcolor', 'websockets']"
2020-04-17 08:12:25,aeac94296e475a00361b1f27aefe32461143f482,"['Sphinx', 'aioconsole', 'aiohttp', 'aiohttp-jinja2', 'aiohttp-security', 'aiohttp_session', 'cryptography', 'dirhash', 'jinja2', 'marshmallow', 'pyfiglet', 'pyyaml', 'recommonmark', 'sphinx_rtd_theme', 'termcolor', 'websockets']"
