commit_hash,commit_date,file_path,proj_update_frequency,proj_mtbu,proj_update_latency,proj_version_lag,proj_criticality_scoreAVG,proj_criticality_scoreSUM,proj_alpha_best,proj_alpha_used
e909c1cda352b4dac207780f8cea739db2362c69,2017-03-20 11:58:05,requirements.txt,N/A,93.89,536.12,9.38,3.6,3.6,0,0.0
6c3e8a9a0fb0ddce1ebcb4625fe55e38cd342380,2018-11-03 07:56:16,requirements.txt,5.0,77.21,15.0,0.0,N/A,N/A,0,0.0
3d7bc72ab236d624466cde74e50b572c53e4288f,2018-12-16 22:29:51,requirements.txt,5.0,107.12,392.75,5.0,N/A,N/A,0,0.0
9687ec2444880f5061426b26d72b328253aed238,2019-04-01 20:50:14,requirements.txt,2.0,36.59,0.0,0.0,N/A,N/A,0,0.0
c8b7050efbe3b34d3495403f8708b3d21d8a21a5,2019-04-11 19:15:33,requirements.txt,2.0,36.59,0.0,0.0,N/A,N/A,0,0.0
3ec6bc7ce16eb1f129bd8b40677add3d04e8a28e,2019-05-31 21:49:53,requirements.txt,2.0,32.37,175.0,11.0,5.9,5.9,0,0.0
83439bc2925ab569327dbcc0092db1b8e61d679f,2019-07-11 16:00:15,requirements.txt,8.0,90.1,1061.29,0.0,3.77,11.3,0,0.0
be695980fb16730df4dee200e3f1c9c9f26699d2,2019-07-11 16:05:39,requirements.txt,8.0,N/A,938.0,0.0,N/A,N/A,0,0.0
0f9a8035335ad7b412906d463bc61a003fe43f11,2019-10-11 22:55:16,requirements.txt,6.0,34.73,1091.0,8.0,N/A,N/A,0,0.0
940a46757ca7346309144506e37f15d05bca5e4c,2019-10-26 05:48:01,requirements.txt,6.0,49.8,232.5,0.0,2.5,5.0,0,0.0
9b1d1a7ca1bcea7ed0578f76887f8cb9bd226819,2019-11-03 21:36:42,requirements.txt,6.0,19.67,17.0,0.0,N/A,N/A,0,0.0
f941ebc1c8c2b2ef0c05c5150198d766dc94e0d3,2019-11-17 04:10:00,requirements.txt,6.0,28.58,0.0,0.0,N/A,N/A,0,0.0
96f8295cc41394c0b0d3aac9d12e9f0cef7dbbe0,2019-11-17 18:28:01,requirements.txt,6.0,19.67,219.0,3.0,N/A,N/A,0,0.0
24d651fd4f8fb9f9e4e3a48ca5bd805202a1d380,2019-11-30 15:00:59,requirements.txt,6.0,88.03,71.0,0.0,3.3,3.3,0,0.0
0d357b42250c7d5947d06da8c68db2ae599da517,2020-01-19 10:27:53,requirements.txt,1.0,15.0,361.0,4.0,N/A,N/A,0,0.0
fd87e36a885284f419eefc4862e93a96d02ab7e1,2020-04-13 00:39:12,requirements.txt,1.0,61.77,589.0,8.0,N/A,N/A,0,0.0
465f23a6776feef2ce545a413ffd3fda4384543e,2020-06-22 07:19:42,requirements.txt,4.0,34.72,8.0,0.0,2.9,2.9,0,0.0
365a1e98aa6b9ca2fb6a4f24b78f4d93b690a695,2020-08-17 13:40:14,requirements.txt,4.0,34.73,990.0,3.0,N/A,N/A,0,0.0
9a6fde877145450eca4131c91d7b5e2de8a56145,2020-08-26 02:13:17,requirements.txt,4.0,32.58,305.0,0.0,N/A,N/A,0,0.0
83028fec7a42a49a6632f36261d44a039d458f9b,2020-09-20 21:59:26,requirements.txt,5.0,32.37,19.0,0.0,5.9,5.9,0,0.0
7b94af5808c32a7db0963424e9e2c86029cc5a9d,2020-10-22 10:11:25,requirements.txt,5.0,19.67,60.0,0.0,N/A,N/A,0,0.0
b6d8d3eda6b1dfa6f4bbb42ae44d8be4dd04d885,2020-11-21 03:33:45,requirements.txt,5.0,29.56,28.5,0.0,N/A,N/A,0,0.0
66fb5932151052d658a0632ccd376cbb161f51e4,2020-11-21 06:02:28,requirements.txt,5.0,32.07,1287.0,15.67,N/A,N/A,0,0.0
4ffad6a9b130d0e6d40b35a7047229a41102080f,2021-01-10 08:46:21,requirements.txt,2.0,29.56,38.0,0.5,N/A,N/A,0,0.0
d3af8315b2ee389389e0ce22a7f024e8e9517b12,2021-04-11 16:55:52,requirements.txt,3.0,29.56,62.0,8.0,N/A,N/A,0,0.0
742354b5558cd1ae797710d579e9e0f0aabaae73,2021-04-27 22:09:13,requirements.txt,3.0,28.58,N/A,N/A,N/A,N/A,0,0.0
8d91f01b6263fe0ee5439b84524fd4374ce5d146,2021-06-24 12:49:38,test/requirements.txt,54.0,29.72,260.67,2.83,3.68,18.4,0,0.0
b7a6cf8cdf8b2419cc10ee2ad9dfbcee52ce6b29,2021-07-09 08:41:47,requirements.txt,54.0,28.58,N/A,N/A,N/A,N/A,0,0.0
a6ac41c21f899e8ca1a3b93395cb78606c80e995,2021-08-02 06:16:55,requirements.txt,54.0,19.67,6.0,0.0,N/A,N/A,0,0.0
071b108b005304f6f169488b21d346945eed91ea,2021-08-07 20:04:39,requirements.txt,54.0,72.18,N/A,N/A,N/A,N/A,0,0.0
0423213a46f7b25ef4b13b8dccd14d96d33a9a4d,2021-08-08 15:19:33,requirements.txt,54.0,137.96,N/A,N/A,N/A,N/A,0,0.0
703fe792eb61fdcad2fe75fd38b647abbf376e85,2021-08-25 20:37:24,spiderfoot/static/package.json,54.0,114.57,560.25,20.0,4.13,12.4,1,0.0
043041e29bf9f3dd2e1caea6c29fb0f60f2221aa,2021-08-26 21:25:40,spiderfoot/static/package.json,54.0,N/A,541.0,0.0,4.5,4.5,0,0.0
cb06b958a7cb1b66885c097b339b3795dc917093,2021-08-27 20:52:27,spiderfoot/static/package.json,54.0,N/A,11.0,143.0,4.1,4.1,0,0.0
d64962582303a2d2ecd751fe003e4fc98c0a59b9,2021-08-29 09:28:30,test/requirements.txt,54.0,50.82,490.67,0.0,3.9,7.8,0,0.0
546eb444d1075df29e8d644b28c70f1e0f3e34d0,2021-08-29 16:45:54,test/acceptance/requirements.txt,54.0,9.45,0.0,0.0,3.4,3.4,0,0.0
d2bd3a3f8b62d83d1f80de52d3773e093803306e,2021-09-03 17:55:40,requirements.txt,54.0,19.06,177.0,0.0,N/A,N/A,0,0.0
2de5fcec793bd4ee00bd1a849a7912253eed2444,2021-09-03 18:39:44,test/requirements.txt,54.0,29.44,104.6,0.0,2.0,2.0,0,0.0
43a10b1cc92e0a31d745e0249e3a2ba42644518a,2021-09-22 10:08:19,requirements.txt,19.0,46.84,N/A,N/A,N/A,N/A,0,0.0
b5f5fc316f8f6993c2b3c3ca0c1040d8753dc223,2021-10-10 07:08:07,test/requirements.txt,19.0,29.49,110.12,0.0,4.1,20.5,0,0.0
c5511bf320df3dbeb61c82a1e4d4965104d4620f,2021-10-10 07:08:20,requirements.txt,19.0,25.29,N/A,N/A,N/A,N/A,0,0.0
738581d98c0ad6c70ca271cdaa29867ca1a26751,2022-04-05 20:53:55,requirements.txt,24.0,45.64,N/A,N/A,N/A,N/A,0,0.0
c3e1cdb56e490aeea59d92daca3e845db573343d,2022-05-01 20:17:07,test/requirements.txt,24.0,31.6,100.57,0.0,3.76,18.8,0,0.0
6a7aab0819d62ad98e3f84c9cb273ac66c73eb8f,2022-06-13 21:33:02,requirements.txt,24.0,54.16,N/A,N/A,N/A,N/A,1,0.0
c6d7afb64047be227333bdffef9baa1097af57e7,2023-02-19 08:42:19,requirements.txt,26.0,54.08,N/A,N/A,N/A,N/A,1,0.0
b546f9bc459cba665e5aee7fdc9f1aebad2df8ce,2023-02-21 13:08:01,test/requirements.txt,26.0,39.31,110.27,0.27,4.16,20.8,0,0.0
0f815a203afebf05c98b605dba5cf0475a0ee5fd,2023-11-05 19:36:23,spiderfoot/static/package.json,1.0,114.57,69.0,0.0,7.7,7.7,0,0.0
